用户ID,游戏,行为,游戏时间
53875128,游戏3985,play,4.4
53875128,游戏1280,purchase,1
53875128,游戏1280,play,4.3
53875128,游戏2074,purchase,1
53875128,游戏2074,play,4.2
53875128,游戏5019,purchase,1
53875128,游戏5019,play,4
53875128,游戏1286,purchase,1
53875128,游戏1286,play,4
53875128,游戏1519,purchase,1
53875128,游戏1519,play,4
53875128,游戏2726,purchase,1
53875128,游戏2726,play,3.7
53875128,游戏2729,purchase,1
53875128,游戏2729,play,3.4
53875128,游戏1143,purchase,1
53875128,游戏1143,play,3.3
53875128,游戏2195,purchase,1
53875128,游戏2195,play,3.2
53875128,游戏2980,purchase,1
53875128,游戏2980,play,3
53875128,游戏3434,purchase,1
53875128,游戏3434,play,2.9
53875128,游戏1024,purchase,1
53875128,游戏1024,play,2.8
53875128,游戏3238,purchase,1
53875128,游戏3238,play,2.8
53875128,游戏1597,purchase,1
53875128,游戏1597,play,2.8
53875128,游戏2861,purchase,1
53875128,游戏2861,play,2.7
53875128,游戏4092,purchase,1
53875128,游戏4092,play,2.6
53875128,游戏2367,purchase,1
53875128,游戏2367,play,2.5
53875128,游戏3916,purchase,1
53875128,游戏3916,play,2.5
53875128,游戏4316,purchase,1
53875128,游戏4316,play,2.4
53875128,游戏2505,purchase,1
53875128,游戏2505,play,2.2
53875128,游戏2711,purchase,1
53875128,游戏2711,play,2.2
53875128,游戏4071,purchase,1
53875128,游戏4071,play,2
53875128,游戏4519,purchase,1
53875128,游戏4519,play,1.9
53875128,游戏1938,purchase,1
53875128,游戏1938,play,1.9
53875128,游戏2658,purchase,1
53875128,游戏2658,play,1.9
53875128,游戏324,purchase,1
53875128,游戏324,play,1.8
53875128,游戏2713,purchase,1
53875128,游戏2713,play,1.8
53875128,游戏431,purchase,1
53875128,游戏431,play,1.8
53875128,游戏1272,purchase,1
53875128,游戏1272,play,1.7
53875128,游戏2473,purchase,1
53875128,游戏2473,play,1.7
53875128,#N/A,purchase,1
53875128,#N/A,play,1.6
53875128,游戏1972,purchase,1
53875128,游戏1972,play,1.5
53875128,游戏473,purchase,1
53875128,游戏473,play,1.4
53875128,游戏2176,purchase,1
53875128,游戏2176,play,1.4
53875128,游戏4156,purchase,1
53875128,游戏4156,play,1.3
53875128,游戏2651,purchase,1
53875128,游戏2651,play,1.3
53875128,游戏2451,purchase,1
53875128,游戏2451,play,1.3
53875128,游戏996,purchase,1
53875128,游戏996,play,1.1
53875128,游戏4767,purchase,1
53875128,游戏4767,play,1.1
53875128,游戏1749,purchase,1
53875128,游戏1749,play,1.1
53875128,游戏2011,purchase,1
53875128,游戏2011,play,1.1
53875128,游戏2577,purchase,1
53875128,游戏2577,play,1
53875128,游戏320,purchase,1
53875128,游戏320,play,1
53875128,游戏2970,purchase,1
53875128,游戏2970,play,0.9
53875128,游戏1688,purchase,1
53875128,游戏1688,play,0.9
53875128,游戏1197,purchase,1
53875128,游戏1197,play,0.9
53875128,游戏4426,purchase,1
53875128,游戏4426,play,0.9
53875128,游戏1585,purchase,1
53875128,游戏1585,play,0.9
53875128,游戏566,purchase,1
53875128,游戏566,play,0.8
53875128,游戏620,purchase,1
53875128,游戏620,play,0.8
53875128,游戏3384,purchase,1
53875128,游戏3384,play,0.8
53875128,游戏3776,purchase,1
53875128,游戏3776,play,0.8
53875128,游戏4546,purchase,1
53875128,游戏4546,play,0.8
53875128,游戏513,purchase,1
53875128,游戏513,play,0.8
53875128,游戏4742,purchase,1
53875128,游戏4742,play,0.8
53875128,游戏3869,purchase,1
53875128,游戏3869,play,0.8
53875128,游戏2945,purchase,1
53875128,游戏2945,play,0.7
53875128,游戏4219,purchase,1
53875128,游戏4219,play,0.7
53875128,游戏1302,purchase,1
53875128,游戏1302,play,0.7
53875128,游戏1659,purchase,1
53875128,游戏1659,play,0.7
53875128,游戏4498,purchase,1
53875128,游戏4498,play,0.6
53875128,游戏1813,purchase,1
53875128,游戏1813,play,0.6
53875128,游戏2385,purchase,1
53875128,游戏2385,play,0.6
53875128,游戏3058,purchase,1
53875128,游戏3058,play,0.6
53875128,游戏3739,purchase,1
53875128,游戏3739,play,0.6
53875128,游戏3014,purchase,1
53875128,游戏3014,play,0.6
53875128,游戏4804,purchase,1
53875128,游戏4804,play,0.6
53875128,游戏1706,purchase,1
53875128,游戏1706,play,0.6
53875128,游戏4428,purchase,1
53875128,游戏4428,play,0.5
53875128,游戏36,purchase,1
53875128,游戏36,play,0.5
53875128,游戏1091,purchase,1
53875128,游戏1091,play,0.5
53875128,游戏1986,purchase,1
53875128,游戏1986,play,0.5
53875128,游戏3317,purchase,1
53875128,游戏3317,play,0.5
53875128,游戏3560,purchase,1
53875128,游戏3560,play,0.5
53875128,游戏4014,purchase,1
53875128,游戏4014,play,0.5
53875128,游戏2076,purchase,1
53875128,游戏2076,play,0.5
53875128,游戏1863,purchase,1
53875128,游戏1863,play,0.5
53875128,游戏184,purchase,1
53875128,游戏184,play,0.5
53875128,游戏791,purchase,1
53875128,游戏791,play,0.5
53875128,游戏3029,purchase,1
53875128,游戏3029,play,0.5
53875128,游戏2749,purchase,1
53875128,游戏2749,play,0.4
53875128,游戏2277,purchase,1
53875128,游戏2277,play,0.4
53875128,游戏2299,purchase,1
53875128,游戏2299,play,0.4
53875128,游戏251,purchase,1
53875128,游戏251,play,0.4
53875128,游戏1689,purchase,1
53875128,游戏1689,play,0.4
53875128,游戏3066,purchase,1
53875128,游戏3066,play,0.4
53875128,游戏2368,purchase,1
53875128,游戏2368,play,0.4
53875128,游戏2553,purchase,1
53875128,游戏2553,play,0.4
53875128,游戏2960,purchase,1
53875128,游戏2960,play,0.4
53875128,游戏1836,purchase,1
53875128,游戏1836,play,0.4
53875128,游戏2088,purchase,1
53875128,游戏2088,play,0.4
53875128,游戏4003,purchase,1
53875128,游戏4003,play,0.4
53875128,游戏5128,purchase,1
53875128,游戏5128,play,0.4
53875128,游戏76,purchase,1
53875128,游戏76,play,0.4
53875128,游戏1129,purchase,1
53875128,游戏1129,play,0.3
53875128,游戏4184,purchase,1
53875128,游戏4184,play,0.3
53875128,游戏1997,purchase,1
53875128,游戏1997,play,0.3
53875128,游戏3934,purchase,1
53875128,游戏3934,play,0.3
53875128,游戏732,purchase,1
53875128,游戏732,play,0.3
53875128,游戏1031,purchase,1
53875128,游戏1031,play,0.3
53875128,游戏4128,purchase,1
53875128,游戏4128,play,0.3
53875128,游戏3278,purchase,1
53875128,游戏3278,play,0.3
53875128,游戏2495,purchase,1
53875128,游戏2495,play,0.3
53875128,游戏3069,purchase,1
53875128,游戏3069,play,0.3
53875128,游戏4169,purchase,1
53875128,游戏4169,play,0.2
53875128,游戏5057,purchase,1
53875128,游戏5057,play,0.2
53875128,游戏4832,purchase,1
53875128,游戏4832,play,0.2
53875128,游戏3793,purchase,1
53875128,游戏3793,play,0.2
53875128,游戏3308,purchase,1
53875128,游戏3308,play,0.2
53875128,游戏2341,purchase,1
53875128,游戏2341,play,0.2
53875128,游戏3999,purchase,1
53875128,游戏3999,play,0.2
53875128,游戏366,purchase,1
53875128,游戏366,play,0.2
53875128,游戏4043,purchase,1
53875128,游戏4043,play,0.2
53875128,游戏3148,purchase,1
53875128,游戏3148,play,0.2
53875128,游戏4667,purchase,1
53875128,游戏4667,play,0.2
53875128,游戏4533,purchase,1
53875128,游戏4533,play,0.2
53875128,游戏3546,purchase,1
53875128,游戏3546,play,0.2
53875128,游戏4196,purchase,1
53875128,游戏4196,play,0.2
53875128,游戏112,purchase,1
53875128,游戏112,play,0.2
53875128,游戏465,purchase,1
53875128,游戏465,play,0.2
53875128,游戏2920,purchase,1
53875128,游戏2920,play,0.2
53875128,游戏531,purchase,1
53875128,游戏531,play,0.1
53875128,游戏887,purchase,1
53875128,游戏887,play,0.1
53875128,游戏3874,purchase,1
53875128,游戏3874,play,0.1
53875128,游戏4346,purchase,1
53875128,游戏4346,play,0.1
53875128,游戏2727,purchase,1
53875128,游戏2727,play,0.1
53875128,游戏1001,purchase,1
53875128,游戏1001,play,0.1
53875128,游戏3940,purchase,1
53875128,游戏3940,play,0.1
53875128,游戏1540,purchase,1
53875128,游戏1540,play,0.1
53875128,游戏3492,purchase,1
53875128,游戏3492,play,0.1
53875128,游戏2389,purchase,1
53875128,游戏1799,purchase,1
53875128,游戏3658,purchase,1
53875128,游戏1434,purchase,1
53875128,游戏4073,purchase,1
53875128,游戏737,purchase,1
53875128,游戏4382,purchase,1
53875128,游戏4175,purchase,1
53875128,游戏1430,purchase,1
53875128,游戏1939,purchase,1
53875128,游戏4222,purchase,1
53875128,游戏723,purchase,1
53875128,游戏3201,purchase,1
53875128,游戏263,purchase,1
53875128,游戏321,purchase,1
53875128,游戏467,purchase,1
53875128,游戏883,purchase,1
53875128,游戏356,purchase,1
53875128,游戏3854,purchase,1
53875128,游戏2079,purchase,1
53875128,游戏322,purchase,1
53875128,游戏722,purchase,1
53875128,游戏3567,purchase,1
53875128,#N/A,purchase,1
53875128,游戏164,purchase,1
53875128,游戏165,purchase,1
53875128,游戏168,purchase,1
53875128,游戏199,purchase,1
53875128,游戏206,purchase,1
53875128,游戏212,purchase,1
53875128,游戏244,purchase,1
53875128,游戏245,purchase,1
53875128,游戏249,purchase,1
53875128,游戏258,purchase,1
53875128,游戏286,purchase,1
53875128,游戏299,purchase,1
53875128,游戏325,purchase,1
53875128,游戏326,purchase,1
53875128,游戏61,purchase,1
53875128,游戏377,purchase,1
53875128,游戏395,purchase,1
53875128,游戏399,purchase,1
53875128,游戏404,purchase,1
53875128,游戏405,purchase,1
53875128,游戏406,purchase,1
53875128,游戏428,purchase,1
53875128,游戏481,purchase,1
53875128,游戏478,purchase,1
53875128,游戏483,purchase,1
53875128,游戏493,purchase,1
53875128,游戏514,purchase,1
53875128,游戏515,purchase,1
53875128,游戏561,purchase,1
53875128,游戏562,purchase,1
53875128,游戏575,purchase,1
53875128,游戏619,purchase,1
53875128,游戏627,purchase,1
53875128,游戏628,purchase,1
53875128,游戏629,purchase,1
53875128,游戏630,purchase,1
53875128,游戏638,purchase,1
53875128,游戏643,purchase,1
53875128,#N/A,purchase,1
53875128,游戏661,purchase,1
53875128,游戏667,purchase,1
53875128,游戏681,purchase,1
53875128,游戏744,purchase,1
53875128,游戏773,purchase,1
53875128,游戏812,purchase,1
53875128,游戏836,purchase,1
53875128,游戏842,purchase,1
53875128,游戏872,purchase,1
53875128,游戏900,purchase,1
53875128,游戏901,purchase,1
53875128,游戏904,purchase,1
53875128,游戏916,purchase,1
53875128,游戏917,purchase,1
53875128,游戏922,purchase,1
53875128,游戏923,purchase,1
53875128,游戏942,purchase,1
53875128,游戏948,purchase,1
53875128,游戏981,purchase,1
53875128,游戏1021,purchase,1
53875128,#N/A,purchase,1
53875128,游戏1067,purchase,1
53875128,游戏1100,purchase,1
53875128,游戏1090,purchase,1
53875128,游戏1130,purchase,1
53875128,游戏1131,purchase,1
53875128,游戏1150,purchase,1
53875128,游戏1151,purchase,1
53875128,游戏1144,purchase,1
53875128,游戏1159,purchase,1
53875128,游戏1202,purchase,1
53875128,游戏1239,purchase,1
53875128,游戏1243,purchase,1
53875128,游戏1245,purchase,1
53875128,游戏1248,purchase,1
53875128,游戏1270,purchase,1
53875128,游戏1303,purchase,1
53875128,游戏1328,purchase,1
53875128,游戏1356,purchase,1
53875128,游戏1373,purchase,1
53875128,游戏1443,purchase,1
53875128,游戏1506,purchase,1
53875128,游戏1511,purchase,1
53875128,游戏1598,purchase,1
53875128,游戏1599,purchase,1
53875128,游戏1601,purchase,1
53875128,游戏1634,purchase,1
53875128,游戏1643,purchase,1
53875128,游戏1650,purchase,1
53875128,游戏1651,purchase,1
53875128,游戏1652,purchase,1
53875128,游戏1658,purchase,1
53875128,游戏1660,purchase,1
53875128,游戏1674,purchase,1
53875128,游戏1690,purchase,1
53875128,游戏1701,purchase,1
53875128,游戏1707,purchase,1
53875128,游戏1719,purchase,1
53875128,游戏1720,purchase,1
53875128,游戏1793,purchase,1
53875128,游戏1862,purchase,1
53875128,游戏1864,purchase,1
53875128,游戏1869,purchase,1
53875128,游戏1870,purchase,1
53875128,游戏1909,purchase,1
53875128,游戏1921,purchase,1
53875128,游戏1922,purchase,1
53875128,游戏1923,purchase,1
53875128,游戏1942,purchase,1
53875128,游戏1949,purchase,1
53875128,游戏1957,purchase,1
53875128,游戏1958,purchase,1
53875128,游戏1959,purchase,1
53875128,游戏1961,purchase,1
53875128,游戏1996,purchase,1
53875128,游戏1998,purchase,1
53875128,游戏2019,purchase,1
53875128,游戏2022,purchase,1
53875128,游戏2071,purchase,1
53875128,游戏2073,purchase,1
53875128,游戏2077,purchase,1
53875128,游戏2081,purchase,1
53875128,游戏2089,purchase,1
53875128,游戏2139,purchase,1
53875128,游戏2169,purchase,1
53875128,游戏2170,purchase,1
53875128,游戏2171,purchase,1
53875128,游戏2172,purchase,1
53875128,游戏2173,purchase,1
53875128,游戏2174,purchase,1
53875128,游戏2201,purchase,1
53875128,游戏2219,purchase,1
53875128,游戏2276,purchase,1
53875128,游戏2278,purchase,1
53875128,游戏2323,purchase,1
53875128,游戏2327,purchase,1
53875128,游戏2344,purchase,1
53875128,游戏2362,purchase,1
53875128,游戏2370,purchase,1
53875128,游戏2383,purchase,1
53875128,游戏2390,purchase,1
53875128,游戏2391,purchase,1
53875128,游戏2395,purchase,1
53875128,游戏2423,purchase,1
53875128,游戏2455,purchase,1
53875128,游戏2462,purchase,1
53875128,游戏2468,purchase,1
53875128,游戏2489,purchase,1
53875128,游戏2494,purchase,1
53875128,游戏2496,purchase,1
53875128,游戏2500,purchase,1
53875128,游戏2535,purchase,1
53875128,游戏2539,purchase,1
53875128,游戏2546,purchase,1
53875128,游戏2610,purchase,1
53875128,游戏2659,purchase,1
53875128,游戏2670,purchase,1
53875128,游戏2678,purchase,1
53875128,游戏2683,purchase,1
53875128,游戏2684,purchase,1
53875128,游戏2682,purchase,1
53875128,游戏2706,purchase,1
53875128,游戏2717,purchase,1
53875128,游戏2724,purchase,1
53875128,游戏2756,purchase,1
53875128,游戏2767,purchase,1
53875128,游戏2790,purchase,1
53875128,游戏2837,purchase,1
53875128,游戏2922,purchase,1
53875128,游戏2937,purchase,1
53875128,游戏2938,purchase,1
53875128,游戏2939,purchase,1
53875128,游戏2978,purchase,1
53875128,游戏3034,purchase,1
53875128,游戏3054,purchase,1
53875128,游戏3068,purchase,1
53875128,游戏3108,purchase,1
53875128,游戏3127,purchase,1
53875128,游戏3128,purchase,1
53875128,游戏3138,purchase,1
53875128,游戏3190,purchase,1
53875128,游戏3192,purchase,1
53875128,游戏3228,purchase,1
53875128,游戏3250,purchase,1
53875128,游戏3305,purchase,1
53875128,游戏3318,purchase,1
53875128,游戏3391,purchase,1
53875128,游戏3433,purchase,1
53875128,游戏3441,purchase,1
53875128,游戏3443,purchase,1
53875128,游戏3459,purchase,1
53875128,游戏3460,purchase,1
53875128,游戏3471,purchase,1
53875128,游戏3472,purchase,1
53875128,游戏3476,purchase,1
53875128,游戏3558,purchase,1
53875128,游戏3576,purchase,1
53875128,游戏3603,purchase,1
53875128,游戏3616,purchase,1
53875128,游戏3659,purchase,1
53875128,游戏3723,purchase,1
53875128,游戏3724,purchase,1
53875128,游戏3752,purchase,1
53875128,游戏3777,purchase,1
53875128,游戏3779,purchase,1
53875128,游戏3781,purchase,1
53875128,游戏3770,purchase,1
53875128,游戏3787,purchase,1
53875128,游戏3790,purchase,1
53875128,游戏3864,purchase,1
53875128,游戏3867,purchase,1
53875128,游戏3875,purchase,1
53875128,游戏3876,purchase,1
53875128,游戏3936,purchase,1
53875128,游戏3939,purchase,1
53875128,游戏3958,purchase,1
53875128,游戏4004,purchase,1
53875128,游戏4018,purchase,1
53875128,游戏4019,purchase,1
53875128,游戏4035,purchase,1
53875128,游戏4037,purchase,1
53875128,游戏4036,purchase,1
53875128,游戏4038,purchase,1
53875128,游戏4039,purchase,1
53875128,游戏4042,purchase,1
53875128,游戏4047,purchase,1
53875128,游戏4048,purchase,1
53875128,游戏4040,purchase,1
53875128,游戏4041,purchase,1
53875128,游戏4044,purchase,1
53875128,游戏4045,purchase,1
53875128,游戏4046,purchase,1
53875128,游戏4080,purchase,1
53875128,游戏4198,purchase,1
53875128,游戏4216,purchase,1
53875128,游戏4217,purchase,1
53875128,游戏4278,purchase,1
53875128,游戏4308,purchase,1
53875128,游戏4309,purchase,1
53875128,游戏4315,purchase,1
53875128,游戏4317,purchase,1
53875128,游戏4326,purchase,1
53875128,游戏4335,purchase,1
53875128,游戏4367,purchase,1
53875128,游戏4407,purchase,1
53875128,游戏4423,purchase,1
53875128,游戏4431,purchase,1
53875128,游戏4434,purchase,1
53875128,游戏4502,purchase,1
53875128,游戏4508,purchase,1
53875128,游戏4520,purchase,1
53875128,游戏4528,purchase,1
53875128,游戏4529,purchase,1
53875128,游戏4535,purchase,1
53875128,游戏4548,purchase,1
53875128,游戏4555,purchase,1
53875128,游戏4560,purchase,1
53875128,游戏4562,purchase,1
53875128,游戏4601,purchase,1
53875128,游戏4609,purchase,1
53875128,游戏4610,purchase,1
53875128,游戏4671,purchase,1
53875128,游戏4684,purchase,1
53875128,游戏4686,purchase,1
53875128,游戏4695,purchase,1
53875128,游戏4726,purchase,1
53875128,游戏4727,purchase,1
53875128,游戏4736,purchase,1
53875128,游戏4778,purchase,1
53875128,游戏4803,purchase,1
53875128,游戏4806,purchase,1
53875128,游戏4820,purchase,1
53875128,游戏4833,purchase,1
53875128,游戏4834,purchase,1
53875128,游戏4835,purchase,1
53875128,游戏4836,purchase,1
53875128,游戏4861,purchase,1
53875128,游戏4883,purchase,1
53875128,游戏4894,purchase,1
53875128,游戏4933,purchase,1
53875128,游戏4981,purchase,1
53875128,游戏5015,purchase,1
53875128,游戏5055,purchase,1
53875128,游戏5114,purchase,1
53875128,游戏5122,purchase,1
234941318,游戏4123,purchase,1
140954425,游戏4255,purchase,1
140954425,游戏4255,play,13
26122540,游戏723,purchase,1
26122540,游戏723,play,92
26122540,游戏722,purchase,1
26122540,游戏722,play,47
26122540,游戏713,purchase,1
26122540,游戏713,play,22
26122540,游戏974,purchase,1
26122540,游戏974,play,10.3
26122540,游戏1404,purchase,1
26122540,游戏1404,play,6.8
26122540,游戏712,purchase,1
26122540,游戏712,play,3.1
26122540,游戏1118,purchase,1
26122540,游戏1118,play,1.1
26122540,游戏310,purchase,1
26122540,游戏2073,purchase,1
26122540,游戏2076,purchase,1
176410694,游戏1333,purchase,1
176410694,游戏1333,play,9.1
197278511,游戏1333,purchase,1
197278511,游戏1333,play,0.5
150128162,游戏4255,purchase,1
150128162,游戏4255,play,42
197455089,游戏1333,purchase,1
197455089,游戏1333,play,3.4
63024728,游戏1497,purchase,1
63024728,游戏1497,play,42
297811211,游戏319,purchase,1
297811211,游戏319,play,29
297811211,游戏4255,purchase,1
297811211,游戏4255,play,10.1
297811211,游戏4820,purchase,1
297811211,游戏4820,play,5.6
76933274,游戏220,purchase,1
76933274,游戏220,play,1
218323237,游戏1333,purchase,1
218323237,游戏1333,play,14.8
218323237,游戏4671,purchase,1
218323237,游戏4671,play,8.8
218323237,游戏4268,purchase,1
218323237,游戏4268,play,0.9
302186258,游戏1333,purchase,1
302186258,游戏1333,play,4.2
126340495,游戏1333,purchase,1
126340495,游戏1333,play,1784
126340495,游戏971,purchase,1
126340495,游戏971,play,626
126340495,游戏974,purchase,1
126340495,游戏974,play,176
126340495,游戏3638,purchase,1
126340495,游戏3638,play,69
